timestamp,primary_mbps_tx,backup_mbps_tx,active_target
1776847131.6171541,0.000,0.000,primary
1776847132.9640803,0.000,0.000,primary
1776847134.3061583,0.000,0.000,primary
1776847135.6348283,0.000,0.000,primary
1776847136.9807596,0.000,0.000,primary
1776847138.3946435,0.000,0.000,primary
1776847139.7474558,0.000,0.000,primary
1776847141.126409,0.000,0.000,primary
1776847142.4928558,0.000,0.000,primary
1776847143.8696532,0.000,0.000,primary
1776847145.1462986,0.000,0.000,primary
1776847146.3964844,0.000,0.000,primary
1776847147.6601033,0.000,0.000,primary
1776847149.0281236,0.000,0.000,primary
1776847150.3728402,0.000,0.000,primary
1776847151.689177,0.000,0.000,primary
1776847153.1173372,0.000,0.000,primary
1776847154.5396762,0.000,0.000,primary
1776847156.02401,0.000,0.000,primary
1776847157.4204705,0.000,0.000,primary
1776847158.7428796,0.000,0.000,primary
1776847160.2247136,0.000,0.000,primary
1776847161.6216836,0.000,0.000,primary
1776847162.9914522,0.000,0.000,primary
1776847164.4436185,0.000,0.000,primary
1776847165.751784,0.000,0.000,primary
1776847167.0175905,0.000,0.000,primary
1776847168.3703687,0.000,0.000,primary
1776847169.740833,0.000,0.000,primary
1776847171.0976512,0.000,0.000,primary
1776847172.450537,0.000,0.000,primary
1776847173.7201972,0.000,0.000,primary
1776847175.0494096,0.000,0.000,primary
1776847176.4319417,0.000,0.000,primary
1776847177.8038886,0.000,0.000,primary
1776847179.172398,0.000,0.000,primary
1776847180.5276859,0.000,0.000,primary
1776847181.9445813,0.000,0.000,primary
1776847183.4275877,0.000,0.000,primary
1776847184.958327,0.000,0.000,primary
1776847186.3159904,0.000,0.000,primary
1776847187.689888,0.000,0.000,primary
1776847189.0635998,0.000,0.000,primary
1776847190.4126103,0.000,0.000,primary
1776847191.7943711,0.000,0.000,primary
1776847193.338751,0.000,0.000,primary
1776847194.7027168,0.000,0.000,primary
1776847196.0182076,0.000,0.000,primary
1776847197.4397542,0.000,0.000,primary
1776847198.8718987,0.000,0.000,primary
1776847200.2720058,0.000,0.000,primary
1776847201.6383326,0.000,0.000,primary
1776847203.0779955,0.000,0.000,primary
1776847204.6166718,0.000,0.000,primary
1776847206.0421433,0.000,0.000,primary
1776847207.591357,0.000,0.000,primary
1776847209.022623,0.000,0.000,primary
1776847210.4578526,0.000,0.000,primary
1776847211.8396475,0.000,0.000,primary
1776847213.212525,0.000,0.000,primary
1776847214.5692456,321.294,0.000,primary
1776847216.1927729,1301.620,0.000,primary
1776847218.3728929,1621.144,0.000,backup
1776847220.7859597,1356.152,374.467,primary
1776847222.3517337,965.561,1032.257,primary
1776847223.8838668,1135.741,988.020,primary
1776847225.4291844,913.823,946.873,primary
1776847226.9842293,898.533,1009.165,primary
1776847228.4756384,938.999,1036.792,primary
1776847229.9901104,940.681,1002.613,primary
1776847231.4826672,1011.833,976.120,primary
1776847233.0025618,879.529,878.009,primary
1776847234.547796,994.258,930.423,primary
1776847236.1162808,898.402,884.063,primary
1776847237.6855965,862.501,870.407,primary
1776847239.2845068,980.154,893.968,primary
1776847240.716801,892.903,1015.576,primary
1776847242.2796996,924.358,985.041,primary
1776847243.774328,943.524,1095.889,primary
1776847245.2681165,915.923,947.572,primary
1776847246.9207544,983.716,963.000,primary
1776847248.5973556,980.297,884.483,primary
1776847250.1986613,839.004,671.097,primary
1776847251.9017656,771.158,810.712,primary
1776847253.3874884,838.114,866.413,primary
1776847254.901927,839.714,808.852,primary
1776847256.483559,952.796,833.297,primary
1776847258.1426885,816.639,809.633,primary
1776847259.7896025,838.289,770.589,primary
1776847261.512389,843.866,846.788,primary
1776847263.3298535,787.873,753.799,primary
1776847265.2516186,700.711,739.617,primary
1776847267.1176872,736.688,679.978,primary
1776847268.9819953,693.585,644.530,primary
1776847270.722706,865.957,824.449,primary
1776847272.5299773,770.846,761.060,primary
1776847274.1757796,680.465,754.239,primary
1776847275.8034801,817.454,787.991,primary
1776847277.4504454,740.122,723.887,primary
1776847279.137191,745.195,711.559,primary
1776847280.8812037,735.899,705.951,primary
1776847282.5967567,608.634,692.744,primary
1776847284.3063426,673.289,706.290,primary
1776847285.9055243,801.578,778.193,primary
1776847287.6544766,680.315,737.566,primary
1776847289.4575224,658.014,799.226,primary
1776847291.2999256,392.167,972.108,primary
1776847292.8918016,0.000,744.092,primary
1776847294.5156643,0.000,1052.371,primary
1776847296.1166558,0.000,1089.491,primary
1776847297.587878,0.000,1117.075,primary
1776847298.9501657,0.000,0.000,primary
1776847300.3738313,0.000,0.000,primary
1776847301.7263277,0.000,0.000,primary
1776847303.1977909,0.000,0.000,primary
1776847304.5676186,0.000,0.000,primary
1776847305.8520775,0.004,0.000,primary
1776847307.246849,0.003,0.000,primary
1776847308.5899403,0.000,0.000,primary
1776847309.9727612,0.000,0.000,primary
1776847311.330459,0.000,0.000,primary
1776847312.6654892,0.000,0.000,primary
1776847314.038544,0.000,0.000,primary
1776847315.4376614,0.000,0.000,primary
1776847316.8424585,0.000,0.000,primary
1776847318.2136366,0.000,0.000,primary
1776847319.574908,0.000,0.000,primary
1776847320.8537269,0.000,0.000,primary
1776847322.1796484,0.000,0.000,primary
1776847323.5327878,0.000,0.000,primary
1776847324.8817134,0.000,0.000,primary
1776847326.2497046,0.000,0.000,primary
1776847327.6363068,0.000,0.000,primary
1776847329.050559,0.000,0.000,primary
1776847330.4073715,0.000,0.000,primary
1776847331.7991655,0.000,0.000,primary
1776847333.2025335,0.000,0.000,primary
1776847334.61775,0.000,0.000,primary
1776847335.9804003,0.000,0.000,primary
1776847337.4107366,0.000,0.000,primary
1776847338.809572,0.000,0.000,primary
1776847340.1474617,0.000,0.000,primary
1776847341.501766,0.000,0.000,primary
1776847342.8489356,0.000,0.000,primary
1776847344.1886313,0.000,0.000,primary
1776847345.5233555,0.000,0.000,primary
1776847346.860544,0.000,0.000,primary
1776847348.2292178,0.000,0.000,primary
1776847349.5556087,0.000,0.000,primary
1776847350.9066231,0.000,0.000,primary
1776847352.255437,0.000,0.000,primary
1776847353.60553,0.000,0.000,primary
1776847354.9460714,0.000,0.000,primary
1776847356.2334821,0.000,0.000,primary
1776847357.5999353,0.000,0.000,primary
1776847358.9645138,0.000,0.000,primary
1776847360.3195777,0.000,0.000,primary
1776847361.653361,0.000,0.000,primary
1776847362.9794974,0.000,0.000,primary
1776847364.3407416,0.000,0.000,primary
1776847365.6707807,0.000,0.000,primary
1776847367.0238044,0.000,0.000,primary
1776847368.3759391,0.000,0.000,primary
1776847369.7106972,0.000,0.000,primary
1776847371.0632694,0.000,0.000,primary
1776847372.405029,0.000,0.000,primary
1776847373.7737298,0.000,0.000,primary
1776847375.163451,0.000,0.000,primary
1776847376.5222204,0.000,0.000,primary
1776847377.9017239,0.000,0.000,primary
1776847379.2499518,0.000,0.000,primary
1776847380.600361,0.000,0.000,primary
1776847381.9589844,0.000,0.000,primary
1776847383.318555,0.000,0.000,primary
1776847384.6577394,0.000,0.000,primary
1776847386.003556,0.000,0.000,primary
1776847387.3261158,0.000,0.000,primary
1776847388.6847355,0.000,0.000,primary
1776847389.9459913,0.000,0.000,primary
1776847391.2454746,0.000,0.000,primary
1776847392.595243,0.000,0.000,primary
1776847393.9782403,0.000,0.000,primary
1776847395.3144784,0.000,0.000,primary
1776847396.6719277,0.000,0.000,primary
1776847398.0367148,0.000,0.000,primary
1776847399.383637,0.000,0.000,primary
1776847400.708125,0.000,0.000,primary
1776847402.030749,0.000,0.000,primary
1776847403.2685726,0.000,0.000,primary
1776847404.5608625,0.000,0.000,primary
1776847405.959642,0.000,0.000,primary
1776847407.3554788,0.000,0.000,primary
1776847408.7579305,0.000,0.000,primary
1776847410.114516,0.000,0.000,primary
1776847411.5167577,0.000,0.000,primary
1776847412.9057863,0.000,0.000,primary
1776847414.2637186,0.000,0.000,primary
1776847415.6103933,0.000,0.000,primary
1776847416.974946,0.000,0.000,primary
1776847418.3616822,0.000,0.000,primary
1776847419.6312292,0.000,0.000,primary
1776847420.9348743,0.000,0.000,primary
1776847422.2235777,0.007,0.000,primary
1776847423.5881634,0.003,0.000,primary
1776847424.9384842,0.004,0.000,primary
1776847426.2965646,0.007,0.000,primary
1776847427.6666565,0.003,0.000,primary
1776847429.0412004,0.003,0.000,primary
1776847430.4155972,0.007,0.000,primary
1776847431.7676213,0.003,0.000,primary
1776847433.1338658,0.003,0.000,primary
1776847434.503951,0.007,0.000,primary
1776847435.8745804,0.003,0.000,primary
1776847437.2397454,0.004,0.000,primary
1776847438.639254,0.007,0.000,primary
1776847440.0446699,0.003,0.000,primary
1776847441.442799,0.003,0.000,primary
1776847442.7307756,0.007,0.000,primary
1776847444.0737846,0.003,0.000,primary
1776847445.364847,0.004,0.000,primary
1776847446.6389766,0.004,0.000,primary
1776847447.999418,0.000,0.000,primary
1776847449.2662952,0.000,0.000,primary
1776847450.5361068,1241.836,0.000,primary
1776847452.7879646,2112.889,0.000,backup
1776847455.11357,1769.773,370.018,primary
1776847456.800138,809.724,901.719,primary
1776847458.6035852,771.220,903.978,primary
1776847460.2148106,793.115,950.724,primary
1776847462.1803184,799.535,916.717,primary
1776847463.905158,653.169,685.153,primary
1776847465.3946953,612.324,760.499,primary
1776847467.155143,649.475,773.197,primary
1776847468.7955508,552.255,698.514,primary
1776847470.3277335,798.651,764.785,primary
1776847471.9215434,627.721,829.281,primary
1776847473.661584,682.137,677.005,primary
1776847475.4776528,778.850,735.900,primary
1776847477.0347257,567.465,670.177,primary
1776847478.7906797,584.885,827.288,primary
1776847480.6025991,557.127,718.819,primary
1776847482.1316092,672.360,880.180,primary
1776847489.7440577,0.000,0.000,primary
1776847491.549203,771.945,757.548,primary
1776847493.4991705,629.529,793.108,primary
1776847495.079234,716.867,765.361,primary
1776847496.8967993,746.552,886.913,primary
1776847498.7155647,720.337,834.476,primary
1776847500.3918705,741.231,865.071,primary
1776847502.1233544,623.202,758.411,primary
1776847504.266818,433.816,523.346,primary
1776847506.3771138,358.047,466.330,primary
1776847508.7418282,342.068,507.162,primary
1776847510.9528189,422.144,547.738,primary
1776847512.8639035,369.301,576.292,primary
1776847514.707984,430.795,675.992,primary
1776847516.540482,477.109,663.260,primary
1776847518.5914514,348.025,591.801,primary
1776847520.3883932,390.016,632.994,primary
1776847522.1311865,489.947,733.949,primary
1776847524.1281018,285.281,540.297,primary
1776847526.0508895,293.015,515.227,primary
1776847527.8267374,383.803,659.130,primary
1776847529.8900833,315.980,525.556,primary
1776847531.6579037,334.864,604.224,primary
1776847533.5123582,309.767,573.459,primary
1776847535.2591093,326.352,607.735,primary
1776847537.0168247,339.358,659.659,primary
1776847539.149711,250.854,557.550,primary
1776847540.8895752,313.984,650.019,primary
1776847542.8617027,328.870,725.012,primary
1776847544.8695529,232.683,625.197,primary
1776847547.200975,333.252,632.627,primary
1776847549.167579,282.177,611.060,primary
1776847551.1561153,281.767,740.457,primary
1776847553.1528907,314.541,500.843,primary
1776847554.8517134,328.713,689.456,primary
1776847556.8458748,295.097,720.648,primary
1776847558.6629913,351.597,600.189,primary
1776847560.5565264,302.509,597.240,primary
1776847562.798535,292.206,696.501,primary
1776847565.387959,244.537,483.720,primary
1776847567.8407972,266.667,584.125,primary
1776847569.9368522,225.088,511.978,primary
1776847571.789578,275.817,563.200,primary
1776847573.8264382,262.585,536.428,primary
1776847575.7891688,275.925,545.125,primary
1776847578.201146,203.843,458.866,primary
1776847580.7098925,254.529,577.059,primary
1776847582.5621748,258.727,547.396,primary
1776847584.4053202,353.298,624.547,primary
1776847586.1673863,329.529,732.406,primary
1776847588.229182,356.304,593.802,primary
1776847590.2447734,316.018,601.660,primary
1776847592.3196695,252.967,578.083,primary
1776847594.1045296,256.207,621.122,primary
1776847596.1234624,236.157,799.760,primary
1776847598.239565,256.908,536.080,primary
1776847600.2884562,317.201,747.197,primary
1776847602.1766436,233.236,679.540,primary
1776847603.9211566,285.401,1094.573,primary
1776847605.5945961,307.078,0.000,primary
1776847607.6963758,243.412,0.000,primary
1776847609.7413669,258.586,0.000,primary
1776847611.6136732,276.750,0.000,primary
1776847613.3351963,262.017,0.000,primary
1776847615.1458647,238.018,0.000,primary
1776847616.8138251,337.487,0.000,primary
1776847618.6716583,236.545,0.000,primary
1776847620.5718462,229.562,0.000,primary
1776847622.417689,306.656,0.000,primary
1776847624.227633,237.998,0.000,primary
1776847626.1381917,237.575,0.000,primary
1776847627.8724756,325.392,0.000,primary
1776847629.6835747,249.549,0.000,primary
1776847631.4316456,286.936,0.000,primary
1776847633.4018252,238.642,0.000,primary
1776847635.5838578,196.254,0.000,primary
1776847637.5028327,198.084,0.000,primary
1776847639.2693205,271.802,0.000,primary
1776847641.0793657,284.312,0.000,primary
1776847642.9134917,290.581,0.000,primary
1776847644.7794425,238.629,0.000,primary
1776847646.9539242,210.067,0.000,primary
1776847648.9008348,198.523,0.000,primary
1776847650.8396416,204.636,0.000,primary
1776847653.1148565,218.217,0.000,primary
1776847654.9144986,248.934,0.000,primary
1776847656.79949,263.602,0.000,primary
1776847658.560437,292.254,0.000,primary
1776847660.3974466,206.894,0.000,primary
1776847662.1835535,216.076,0.000,primary
1776847664.2109916,288.911,0.000,primary
1776847665.947488,215.546,0.000,primary
1776847667.9151366,257.932,0.000,primary
1776847669.7621238,236.327,0.000,primary
1776847671.6263535,309.387,0.000,primary
1776847673.8771722,303.213,0.000,primary
1776847676.2014356,251.410,0.000,primary
1776847678.1407776,228.824,0.000,primary
1776847680.299217,270.280,0.000,primary
1776847682.0584507,254.379,0.000,primary
1776847683.9925637,290.125,0.000,primary
1776847685.8395503,209.860,0.000,primary
1776847687.6552687,277.038,0.000,primary
1776847689.623499,249.764,0.000,primary
1776847691.4309769,239.636,0.000,primary
1776847693.304427,264.057,0.000,primary
1776847695.2703319,255.055,0.000,primary
1776847697.0525935,237.994,0.000,primary
1776847698.9377005,218.515,0.000,primary
1776847700.7414236,237.294,0.000,primary
1776847702.6308222,299.531,0.000,primary
1776847704.8612614,235.782,0.000,primary
1776847706.5642216,234.307,0.000,primary
1776847708.6741989,259.299,0.000,primary
1776847710.4789956,275.487,0.000,primary
1776847712.259372,269.706,0.000,primary
1776847714.0674455,192.121,0.000,primary
1776847715.9582825,198.866,0.000,primary
1776847717.9894097,316.552,0.000,primary
1776847719.800695,185.014,0.000,primary
1776847721.7596745,265.804,0.000,primary
1776847724.084219,135.464,0.000,primary
1776847726.2598324,215.015,0.000,primary
1776847728.2046893,237.547,0.000,primary
1776847730.0617032,282.132,0.000,primary
1776847732.0301964,270.982,0.000,primary
1776847733.7431562,249.650,0.000,primary
1776847735.9495747,263.029,0.000,primary
1776847737.9931653,196.448,0.000,primary
1776847740.327157,223.934,0.000,primary
1776847742.166987,219.242,0.000,primary
1776847744.0587506,158.207,0.000,primary
1776847746.475122,144.603,0.000,primary
1776847748.5805335,116.237,0.000,primary
1776847750.6728961,170.672,0.000,primary
1776847752.8913972,163.008,0.000,primary
1776847755.3877354,158.731,0.000,primary
1776847757.4945292,248.321,0.000,primary
1776847759.5273764,264.489,0.000,primary
1776847761.2891145,291.822,0.000,primary
1776847763.283484,203.646,0.000,primary
1776847765.289667,186.129,0.000,primary
1776847767.2058992,169.765,0.000,primary
1776847769.2121332,180.908,0.000,primary
1776847771.1852639,259.049,0.000,primary
1776847773.1922982,255.876,0.000,primary
1776847775.6751313,216.597,0.000,primary
1776847777.7835016,219.424,0.000,primary
1776847779.539909,247.299,0.000,primary
1776847781.4383633,259.132,0.000,primary
1776847783.4558072,202.013,0.000,primary
1776847785.2638912,290.366,0.000,primary
1776847787.0141633,271.996,0.000,primary
1776847788.8049269,243.290,0.000,primary
1776847790.9249432,276.021,0.000,primary
1776847793.073206,274.947,0.000,primary
1776847795.0773346,308.285,0.000,primary
1776847796.8824704,277.144,0.000,primary
1776847798.979153,232.904,0.000,primary
1776847800.9178483,204.847,0.000,primary
1776847802.8992994,211.482,0.000,primary
1776847804.9921706,291.084,0.000,primary
1776847807.2418032,250.603,0.000,primary
1776847809.6239665,196.921,0.000,primary
1776847811.6733775,257.704,0.000,primary
1776847813.8962731,210.339,0.000,primary
1776847815.9547572,212.342,0.000,primary
1776847817.822204,235.236,0.000,primary
1776847820.2255619,237.523,0.000,primary
1776847822.048808,317.948,0.000,primary
1776847823.9515235,229.469,0.000,primary
1776847825.8736377,233.410,0.000,primary
1776847827.8018813,288.566,0.000,primary
1776847829.6596086,209.972,0.000,primary
1776847831.5167136,287.085,0.000,primary
1776847833.300972,249.889,0.000,primary
1776847835.199466,255.183,0.000,primary
1776847836.9756234,275.640,0.000,primary
1776847838.962719,236.095,0.000,primary
1776847840.865404,320.298,0.000,primary
1776847842.8712037,250.795,0.000,primary
1776847844.6518614,200.937,0.000,primary
1776847846.5111187,233.661,0.000,primary
1776847848.6529617,216.291,0.000,primary
1776847850.5648458,232.032,0.000,primary
1776847852.8445618,194.781,0.000,primary
1776847854.6332288,189.665,0.000,primary
1776847856.5156295,220.716,0.000,primary
1776847858.5223444,182.800,0.000,primary
1776847860.5559015,197.870,0.000,primary
1776847862.5963988,208.374,0.000,primary
1776847864.8318932,200.678,0.000,primary
1776847867.0775733,196.625,0.000,primary
1776847868.9866793,173.687,0.000,primary
1776847871.0118213,162.947,0.000,primary
1776847873.1105075,170.503,0.000,primary
1776847875.6539645,464.122,0.000,primary
1776847878.2022855,253.136,0.000,primary
1776847879.9952316,148.735,0.000,primary
1776847881.9878404,122.555,0.000,primary
1776847883.9294844,159.499,0.000,primary
1776847885.9275558,152.197,0.000,primary
1776847887.8964086,137.257,0.000,primary
1776847890.3428328,136.702,0.000,primary
1776847892.3896823,133.649,0.000,primary
1776847894.3672287,108.959,0.000,primary
1776847896.3882842,115.384,0.000,primary
1776847898.2644217,110.310,0.000,primary
1776847900.2197917,142.523,0.000,primary
1776847901.9764707,157.555,0.000,primary
1776847903.7922974,114.235,0.000,primary
1776847905.8853147,112.387,0.000,primary
1776847907.870501,159.087,0.000,primary
1776847909.916678,128.936,0.000,primary
1776847911.9344025,112.984,0.000,primary
1776847914.0693161,122.578,0.000,primary
1776847916.2775602,90.711,0.000,primary
1776847918.3045375,87.394,0.000,primary
1776847920.2181387,123.000,0.000,primary
1776847922.44425,127.069,0.000,primary
1776847924.6634102,123.121,0.000,primary
1776847926.4219222,126.270,0.000,primary
1776847928.4239585,121.533,0.000,primary
1776847930.3253984,92.919,0.000,primary
1776847932.314993,109.890,0.000,primary
1776847934.1495285,93.159,0.000,primary
1776847936.3003173,107.701,0.000,primary
1776847938.3054564,111.843,0.000,primary
1776847940.324516,132.039,0.000,primary
1776847942.2963426,107.160,0.000,primary
1776847944.33674,105.591,0.000,primary
1776847946.3149889,81.854,0.000,primary
1776847948.137619,143.054,0.000,primary
1776847949.9315171,95.498,0.000,primary
1776847952.3782938,101.465,0.000,primary
1776847954.6396031,89.881,0.000,primary
1776847956.6753225,95.414,0.000,primary
1776847958.8170965,93.592,0.000,primary
1776847960.750437,79.899,0.000,primary
1776847962.9802184,81.371,0.000,primary
1776847964.8054674,68.182,0.000,primary
1776847966.8242424,101.520,0.000,primary
1776847968.6748722,113.074,0.000,primary
1776847970.7046838,118.685,0.000,primary
1776847972.774877,111.712,0.000,primary
1776847975.2236245,74.031,0.000,primary
1776847977.20083,75.460,0.000,primary
1776847979.1688552,72.718,0.000,primary
1776847981.436126,84.855,0.000,primary
1776847983.240167,97.194,0.000,primary
1776847985.3762689,74.265,0.000,primary
1776847987.3102598,89.738,0.000,primary
1776847989.2885501,89.441,0.000,primary
1776847991.2695506,147.723,0.000,primary
1776847993.3484447,94.643,0.000,primary
1776847995.4795218,85.260,0.000,primary
1776847997.6095324,84.880,0.000,primary
1776848000.1599402,96.943,0.000,primary
1776848002.4186735,143.045,0.000,primary
1776848004.710425,104.138,0.000,primary
1776848007.095915,86.345,0.000,primary
1776848009.510404,89.803,0.000,primary
1776848011.9988427,62.283,0.000,primary
1776848014.2706978,79.705,0.000,primary
1776848016.9199133,79.072,0.000,primary
1776848019.3295617,75.929,0.000,primary
1776848022.3741546,69.511,0.000,primary
1776848024.6644285,82.591,0.000,primary
1776848027.4259598,54.043,0.000,primary
1776848029.983327,66.644,0.000,primary
1776848033.3472905,66.994,0.000,primary
1776848035.8486164,66.664,0.000,primary
1776848038.0951614,87.290,0.000,primary
1776848040.907583,59.710,0.000,primary
1776848043.461533,70.923,0.000,primary
1776848046.057853,70.834,0.000,primary
1776848048.9006958,48.354,0.000,primary
1776848051.750049,72.124,0.000,primary
1776848053.663713,68.991,0.000,primary
1776848055.9086766,76.293,0.000,primary
1776848058.1534057,90.986,0.000,primary
1776848060.1774192,67.627,0.000,primary
1776848062.4786665,132.857,0.000,primary
1776848064.6606026,65.353,0.000,primary
1776848066.712375,56.188,0.000,primary
1776848068.638352,101.761,0.000,primary
1776848070.8624241,66.364,0.000,primary
