timestamp,primary_mbps_tx,backup_mbps_tx,active_target
1776994127.1482074,105.901,0.000,primary
1776994129.0492275,90.355,0.000,primary
1776994130.6025121,64.796,0.000,primary
1776994133.4374435,178.895,0.000,primary
1776994135.5170672,133.677,0.000,primary
1776994486.9672651,0.000,0.000,primary
1776994488.4078414,0.000,0.000,primary
1776994491.4402137,0.000,0.000,primary
1776994492.4404154,0.000,0.000,primary
1776994493.4578907,0.000,0.000,primary
1776994494.4869576,0.000,0.000,primary
1776994495.697153,356.901,0.000,primary
1776994497.8065019,743.686,0.000,primary
1776994498.913706,780.996,0.000,primary
1776994500.1789382,767.310,0.000,primary
1776994501.4208922,537.676,0.000,primary
1776994502.744691,627.510,0.000,primary
1776994503.8081481,755.397,0.000,primary
1776994505.1032581,734.674,0.000,primary
1776994506.1671636,749.590,0.000,primary
1776994507.487297,630.502,0.000,primary
1776994508.710324,485.144,0.000,primary
1776994509.8972983,548.927,0.000,primary
1776994511.628699,821.872,0.000,primary
1776994517.3707082,583.935,0.000,primary
1776994519.403432,468.223,0.000,primary
1776994521.6894166,845.360,0.000,primary
1776994524.1748946,374.531,0.000,primary
1776994525.3900192,408.775,0.000,primary
1776994527.1282065,580.670,0.000,primary
1776994528.433232,89.888,0.000,primary
1776994529.979413,349.651,0.000,primary
1776994531.47098,428.319,0.000,primary
1776994533.8478703,427.874,0.000,primary
1776994534.8842306,201.506,0.000,primary
1776994536.3752003,246.284,0.000,primary
1776994537.412648,256.547,0.000,primary
1776994538.8407314,271.792,0.000,primary
1776994540.109375,311.364,0.000,primary
1776994541.4852293,224.815,0.000,primary
1776994542.884571,256.044,0.000,primary
1776994544.0142965,244.027,0.000,primary
1776994545.1386192,226.921,0.000,primary
1776994546.1722772,1028.038,0.000,primary
1776994549.8543894,324.092,0.000,primary
1776994553.3674054,470.727,0.000,primary
1776994562.2933013,105.241,0.000,primary
1776994568.0651925,45.492,0.000,primary
1776994569.1902206,558.847,0.000,primary
1776994572.540614,200.517,0.000,primary
1776994577.0103881,422.361,0.000,primary
1776994580.3373663,271.639,0.000,primary
1776994584.981139,293.459,0.000,primary
1776994603.0312612,55.167,0.000,primary
1776994678.4036403,16.006,0.000,primary
1776994680.4993336,288.723,0.000,primary
1776994681.5228136,279.646,0.000,primary
1776994682.8158119,430.223,0.000,primary
1776994684.2303922,408.577,0.000,primary
1776994685.2786345,501.644,0.000,primary
1776994686.3126464,246.180,0.000,primary
1776994688.109013,422.520,0.000,primary
1776995137.600448,0.461,0.000,primary
1776995138.7969797,279.226,0.000,primary
1776995140.316302,498.944,0.000,primary
1776995141.895759,234.041,0.000,primary
1776995143.3245742,151.687,0.000,primary
1776995144.3481712,293.992,0.000,primary
1776995538.3273897,0.000,0.000,primary
1776995539.687722,0.000,0.000,primary
1776995540.9121485,0.000,0.000,primary
1776995541.9637172,0.000,0.000,primary
1776995543.060985,0.000,0.000,primary
1776995544.1059833,0.000,0.000,primary
1776995545.1913626,1004.891,0.000,primary
1776995546.2030914,1178.729,0.000,primary
1776995547.2366326,1303.856,0.000,primary
1776995548.6285238,703.117,0.000,primary
1776995549.7174494,935.422,0.000,primary
1776995550.7638786,880.835,0.000,primary
1776995551.8748071,819.015,0.000,primary
1776995553.0844946,565.528,0.000,primary
1776995554.1132255,825.856,0.000,primary
1776995555.162178,1125.417,0.000,primary
1776995558.031078,143.255,0.000,primary
1776995559.0901794,834.676,0.000,primary
1776995560.876404,504.063,0.000,primary
1776995562.0885723,371.447,0.000,primary
1776995563.1518953,1084.502,0.000,primary
1776995564.536643,778.226,0.000,primary
1776995566.174319,179.061,0.000,primary
1776995567.284443,726.968,0.000,primary
1776995568.5750966,534.152,0.000,primary
1776995569.905764,592.769,0.000,primary
1776995570.9102027,476.076,0.000,primary
1776995571.9759953,605.887,0.000,primary
1776995573.0316758,527.125,0.000,primary
1776995574.0621521,420.277,0.000,primary
1776995575.0712748,319.845,0.000,primary
1776995576.097426,335.632,0.000,primary
1776995577.1756783,444.063,0.000,primary
1776995578.183574,396.312,0.000,primary
1776995579.2237895,426.904,0.000,primary
1776995580.5090196,606.960,0.000,primary
1776995581.8310986,381.609,0.000,primary
1776995583.1396196,347.927,0.000,primary
1776995584.1579306,415.064,0.000,primary
1776995585.2079308,370.510,0.000,primary
1777796329.75311,0.000,0.000,primary
1777796330.8077204,0.000,0.000,primary
1777796333.798252,0.000,0.000,primary
1777796334.8465385,0.000,0.000,primary
1777796335.9019105,0.000,0.000,primary
1777796336.9301112,0.000,0.000,primary
1777796337.9870243,0.000,0.000,primary
1777796339.0252128,0.000,0.000,primary
1777796340.0845454,0.000,0.000,primary
1777796341.1711082,0.000,0.000,primary
1777796342.2210965,0.000,0.000,primary
1777796343.236554,0.000,0.000,primary
1777796344.2478552,0.000,0.000,primary
1777796345.3498368,0.000,0.000,primary
1777796346.4166622,0.000,0.000,primary
1777796347.4270072,0.000,0.000,primary
1777796348.4850466,0.000,0.000,primary
1777796349.496168,0.000,0.000,primary
1777796350.6133838,0.000,0.000,primary
1777796351.7495172,0.000,0.000,primary
1777796352.7991486,0.000,0.000,primary
1777796353.8196461,0.000,0.000,primary
1777796354.8328948,0.000,0.000,primary
